Uniform Name,Type,Range/Hint,Default Value,Description,Shader Name
_GridIndicatorGhostAlphaSpeed,float,-,3.0,Grid indicator ghost alpha speed,edit_mode_grid
_MainTex,sampler2D,hint_albedo,-,Main texture,sprite_color
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Color tint,sprite_color
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Primary color,wall_render_outer
_Color2,vec4,hint_color,"vec4(0.6509434, 0.6509434, 0.6509434, 0.0)",Secondary color,wall_render_outer
_LightIntensity,float,"hint_range(0.0, 2.0)",1.0,Light intensity multiplier,wall_render_outer
_GhostLight,bool,hint_toggle,false,Enable ghost lighting effect,wall_render_outer
_GhostLightSpeed,float,"hint_range(0.1, 10.0)",3.0,Ghost light animation speed,wall_render_outer
_GhostLightColor,vec4,hint_color,"vec4(0.25, 0.5056235, 1.0, 0.0)",Ghost light color,wall_render_outer
_WorkflowMode,float,"hint_range(0, 1)",1.0,"Workflow mode (0=Specular, 1=Metallic)",character_lit
_BaseMap,sampler2D,hint_albedo,-,Base texture,character_lit
_BaseColor,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Base color tint,character_lit
_Cutoff,float,"hint_range(0.0, 1.0)",0.5,Alpha cutoff threshold,character_lit
_Smoothness,float,"hint_range(0.0, 1.0)",0.5,Surface smoothness,character_lit
_SmoothnessTextureChannel,float,"hint_range(0.0, 1.0)",0.0,Smoothness texture channel,character_lit
_Metallic,float,"hint_range(0.0, 1.0)",0.0,Metallic property,character_lit
_MetallicGlossMap,sampler2D,hint_white,-,Metallic gloss map,character_lit
_SpecColor,vec4,hint_color,"vec4(0.2, 0.2, 0.2, 1.0)",Specular color,character_lit
_SpecGlossMap,sampler2D,hint_white,-,Specular gloss map,character_lit
_SpecularHighlights,bool,hint_toggle,true,Enable specular highlights,character_lit
_EnvironmentReflections,bool,hint_toggle,true,Enable environment reflections,character_lit
_BumpScale,float,"hint_range(0.0, 2.0)",1.0,Normal map scale,character_lit
_BumpMap,sampler2D,hint_normal,-,Normal map,character_lit
_Parallax,float,"hint_range(0.005, 0.08)",0.005,Parallax strength,character_lit
_ParallaxMap,sampler2D,hint_black,-,Parallax map,character_lit
_OcclusionStrength,float,"hint_range(0.0, 1.0)",1.0,Occlusion strength,character_lit
_OcclusionMap,sampler2D,hint_white,-,Occlusion map,character_lit
_EmissionColor,vec4,hint_color,"vec4(0.0, 0.0, 0.0, 1.0)",Emission color,character_lit
_EmissionMap,sampler2D,hint_white,-,Emission map,character_lit
_DetailMask,sampler2D,hint_white,-,Detail mask,character_lit
_DetailAlbedoMapScale,float,"hint_range(0.0, 2.0)",1.0,Detail albedo map scale,character_lit
_DetailAlbedoMap,sampler2D,hint_albedo,-,Detail albedo map,character_lit
_DetailNormalMapScale,float,"hint_range(0.0, 2.0)",1.0,Detail normal map scale,character_lit
_DetailNormalMap,sampler2D,hint_normal,-,Detail normal map,character_lit
_AlphaClip,bool,hint_toggle,false,Enable alpha clipping,character_lit
_ReceiveShadows,bool,hint_toggle,true,Enable shadow receiving,character_lit
_MainTex,sampler2D,hint_albedo,-,Main texture,two_layered_lit
_IconColor,vec4,hint_color,"vec4(0.792, 0.792, 0.792, 0.0)",Icon color tint,two_layered_lit
_BGTex,sampler2D,hint_albedo,-,Background texture,two_layered_lit
_Color,vec4,hint_color,"vec4(0.823, 0.823, 0.823, 0.0)",Background color tint,two_layered_lit
_Metallic,float,"hint_range(0.0, 1.0)",0.3,Background metallic,two_layered_lit
_Glossiness,float,"hint_range(0.0, 1.0)",0.9,Background glossiness,two_layered_lit
_IconMetallic,float,"hint_range(0.0, 1.0)",0.0,Icon metallic,two_layered_lit
_IconGlossiness,float,"hint_range(0.0, 1.0)",0.0,Icon glossiness,two_layered_lit
_BaseColor,vec4,hint_color,"vec4(0.643, 0.643, 0.643, 1.0)",Base color tint,block_3d
_BaseMap,sampler2D,hint_albedo,-,Base texture,block_3d
_LambertAmount,float,"hint_range(0.0, 1.0)",0.5,Lambert lighting amount,block_3d
_ColorBrightness,float,"hint_range(0.0, 2.0)",1.0,Color brightness,block_3d
_Color2Darkness,float,"hint_range(0.0, 1.0)",0.0,Secondary color darkness,block_3d
_AlbedoBrightness,float,"hint_range(0.0, 1.0)",0.0,Albedo brightness,block_3d
_GhostLight,bool,hint_toggle,false,Enable ghost lighting effect,block_3d
_GhostLightSpeed,float,"hint_range(0.0, 1.0)",1.0,Ghost light animation speed,block_3d
_GhostLightColor,vec4,hint_color,"vec4(0.25, 0.5056, 1.0, 0.0)",Ghost light color,block_3d
_Alpha,float,-,1.0,Alpha multiplier,block_3d
_Color,vec4,hint_color,"vec4(0.0, 0.0, 0.0, 0.0)",Progress color,device_progress
_ClockWise,bool,hint_toggle,false,Clockwise direction,device_progress
_Rotation,float,"hint_range(0.0, 1.0)",0.0,Rotation amount,device_progress
_TrimStart,float,"hint_range(0.0, 1.0)",180.0,Trim start angle,device_progress
_Length,float,"hint_range(0.0, 1.0)",0.15,Progress length,device_progress
_Offset,float,-,0.0,Progress offset,device_progress
_MainTex,sampler2D,hint_albedo,-,Main texture,sprite_color_zwrite
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Color tint,sprite_color_zwrite
_MainTex,sampler2D,hint_albedo,-,Main texture,sprite_icon_unlit
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Color tint,sprite_icon_unlit
_HorizontalFlip,bool,hint_toggle,false,Horizontal flip toggle,sprite_icon_unlit
_GradientTexture,sampler2D,hint_black_albedo,-,Gradient color texture,heatmap_box_stenciled
_BaseIntensity,float,"hint_range(0.0, 1.0)",0.0,Base intensity value,heatmap_box_stenciled
_DitheringRadius,float,"hint_range(0.0, 1.0)",0.5,Dithering radius,heatmap_box_stenciled
_CutRange,vec2,-,"vec2(0.0, 0.2)",Intensity cut range,heatmap_box_stenciled
_BaseRadius,float,-,0.0,Base radius,heatmap_box_stenciled
_BaseOpacity,float,"hint_range(0.0, 1.0)",1.0,Base opacity,heatmap_box_stenciled
_BlendColorRatio,float,"hint_range(0.0, 1.0)",0.0,Color blend ratio,heatmap_box_stenciled
_BlendOverlaySceneOpacity,float,"hint_range(0.0, 1.0)",0.0,Scene overlay opacity,heatmap_box_stenciled
_BlendOverlaySceneRatio,float,"hint_range(0.0, 1.0)",0.0,Scene blend ratio,heatmap_box_stenciled
_BlendOverlayGaussianCoef,float,"hint_range(0.0, 1.0)",0.0,Gaussian coefficient,heatmap_box_stenciled
_BlendOverlayGaussianBase,float,"hint_range(0.0, 1.0)",0.0,Gaussian base value,heatmap_box_stenciled
_BlendOverlayGaussianOpacity,float,"hint_range(0.0, 1.0)",0.0,Gaussian opacity,heatmap_box_stenciled
_BlendOverlayGaussianRatio,float,"hint_range(0.0, 1.0)",0.0,Gaussian blend ratio,heatmap_box_stenciled
_BlendOverlayWhiteOpacity,float,"hint_range(0.0, 1.0)",0.0,White overlay opacity,heatmap_box_stenciled
_InterestOpacityRange,vec2,-,"vec2(0.0, 0.2)",Interest opacity range,heatmap_box_stenciled
_InterestOpacityUseGaussian,bool,hint_toggle,false,Use Gaussian for interest,heatmap_box_stenciled
_InterestOpacityGaussianCoef,float,"hint_range(0.0, 1.0)",0.0,Interest Gaussian coefficient,heatmap_box_stenciled
_InterestOpacityRatio,float,"hint_range(0.0, 1.0)",0.0,Interest opacity ratio,heatmap_box_stenciled
attractors,struct array,-,N/A,Heatmap attractor data,heatmap_box_stenciled
attractor_count,int,-,0,Number of attractors,heatmap_box_stenciled
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Primary color,wall_render_outer_side
_Color2,vec4,hint_color,"vec4(0.6509434, 0.6509434, 0.6509434, 0.0)",Secondary color,wall_render_outer_side
_LightIntensity,float,"hint_range(0.0, 2.0)",1.0,Light intensity multiplier,wall_render_outer_side
_GhostLight,bool,hint_toggle,false,Enable ghost lighting effect,wall_render_outer_side
_GhostLightSpeed,float,"hint_range(0.1, 10.0)",3.0,Ghost light animation speed,wall_render_outer_side
_GhostLightColor,vec4,hint_color,"vec4(0.25, 0.5056235, 1.0, 0.0)",Ghost light color,wall_render_outer_side
